date,code,shares,price,commission,cash
2024-03-22,sh601899,-2300,13.79,25.69077,175409.32749999984
2024-04-16,sh600938,-5900,26.78,127.98161999999999,333283.3458799998
2024-04-16,sh600066,-11800,18.53,177.10974,551760.2361399998
2024-05-10,sz300394,-2900,49.65,116.62785,695628.6082899999
2024-05-10,sz300476,5900,27.42,50.15118,533800.4571099998
2024-05-10,sh600066,7700,21.79,52.01273,365965.4443799999
2024-05-10,sz300502,3900,41.32,49.95587999999999,204767.4884999999
2024-05-10,sh601138,7500,21.8,50.684999999999995,41216.80349999989
2024-05-10,sh603993,4800,8.48,12.618239999999998,500.18525999988924
2024-05-17,sz300308,-1200,118.34,115.02647999999999,142393.15877999988
2024-05-17,sz300476,100,27.8,5.0278,139608.13097999987
2024-05-17,sh601138,-300,23.0,8.519,146499.61197999987
2024-05-17,sz002916,2300,63.54,45.304019999999994,312.30795999986003
2024-05-24,sh603993,-4800,7.46,29.004479999999997,36091.30347999986
2024-05-31,sz300476,-6000,24.92,121.1112,185490.19227999984
2024-05-31,sh601138,-7200,21.47,125.21303999999999,339948.97923999984
2024-05-31,sz002916,-2300,66.76,124.37388,493372.6053599998
2024-06-17,sz300502,-3900,55.94,176.71445999999997,711361.8908999998
2024-07-09,sh600066,-7700,20.53,128.04561,869314.8452899997
2024-07-22,sz002938,4900,34.88,52.98271999999999,698349.8625699998
2024-07-22,sz300502,3200,53.1,52.67519999999999,528377.1873699997
2024-07-22,sz002241,7600,22.26,52.444559999999996,359148.74280999973
2024-07-22,sz300476,4900,35.21,53.48399,186566.25881999973
2024-07-22,sz002475,4300,39.56,52.73347999999999,16405.52533999973
2024-07-26,sz300502,-3200,46.86,121.46112,166236.06421999974
2024-08-05,sz300476,-4900,31.31,124.26939,319530.79482999974
2024-08-06,sz002938,-4900,33.48,132.88212,483449.9127099997
2024-08-06,sz002475,-4300,35.0,121.905,633828.0077099997
2024-08-26,sz002241,-7600,19.86,122.25816,784641.7495499997
2024-10-09,sh601601,4000,37.76,46.822399999999995,633554.9271499997
2024-10-09,sz000651,3400,44.46,46.860839999999996,482344.0663099997
2024-10-09,sh600415,16400,9.3,47.28119999999999,329776.7851099997
2024-10-09,sh605499,900,157.15,43.844849999999994,188297.9402599997
2024-10-09,sz002594,1400,103.32,44.84088,43605.09937999971
2024-10-16,sh605499,-900,160.34,116.88786,187794.21151999972
2024-10-16,sz002594,-1400,95.98,108.84132,322057.3701999997
2024-10-16,sz002625,5100,30.23,47.79363,167836.5765699997
2024-10-16,sh601336,3600,41.84,46.693439999999995,17165.88312999971
2024-10-16,sh600415,-1900,10.17,15.651629999999999,36473.23149999971
2024-10-16,sz302132,500,71.98,11.156899999999998,472.0745999997089
2024-10-23,sh601601,-4000,36.27,117.51480000000001,145434.5597999997
2024-10-23,sz000651,-3400,41.89,115.36506,287745.1947399997
2024-10-23,sz002625,-700,36.26,20.55942,313106.6353199997
2024-10-23,sz000617,19200,8.48,50.47295999999999,150240.1623599997
2024-10-23,sz002202,14500,10.32,46.3884,553.7739599997003
2024-10-30,sh600415,-14500,9.77,114.74865,142104.0253099997
2024-10-30,sz002202,-14500,10.29,120.85605000000001,291188.1692599997
2024-11-06,sz002625,-4400,46.47,165.61908,495490.5501799997
2024-11-06,sz302132,-500,94.25,38.17125,542577.3789299997
2024-11-13,sz000617,-19200,8.18,127.21536,699506.1635699996
2024-11-27,sh601336,-3600,40.42,117.86472,844900.2988499997
2025-02-14,sh603893,900,167.29,46.67390999999999,694292.6249399997
2025-02-14,sz300442,2900,55.84,50.20016,532306.4247799997
2025-02-14,sh603296,2700,59.94,50.169779999999996,370418.25499999966
2025-02-14,sh600183,6000,27.81,51.72659999999999,203506.52839999966
2025-02-14,sz002602,29000,5.79,52.052099999999996,35544.47629999966
2025-02-21,sz300251,1300,26.85,10.820549999999999,628.6557499996634
2025-02-21,sh600183,-400,31.5,11.426,13217.229749999664
2025-02-21,sz002602,-1800,6.74,11.18732,25338.042429999663
2025-02-28,sz300251,1000,23.83,7.387299999999999,1500.6551299996645
2025-02-28,sz300442,-200,63.53,11.48006,14195.175069999665
2025-02-28,sz301165,300,39.9,5.1197,2220.0553699996653
2025-03-07,sh603296,-2700,59.22,129.51414,161984.54122999965
2025-03-14,sh600183,-5600,27.25,123.606,314460.93522999965
2025-03-21,sz301165,-300,36.56,10.593679999999999,325418.34154999966
2025-03-21,sz300251,5400,22.27,37.279979999999995,205123.06156999967
2025-03-21,sh603893,100,164.85,5.16485,188632.89671999967
2025-03-21,sz300476,2100,81.71,53.19320999999999,16988.703509999672
2025-03-21,sh601100,200,83.44,5.173279999999999,295.5302299996729
2025-03-21,sz002602,-2200,6.92,12.764240000000001,15506.765989999672
2025-03-26,sz300442,-2700,55.23,120.78801,164506.97797999968
2025-04-07,sz300476,-2100,61.97,105.41096999999999,294538.56700999965
2025-04-08,sh603893,-1000,138.85,112.46849999999999,433276.0985099997
2025-04-08,sz300251,-7700,18.05,112.57785000000001,572148.5206599997
2025-04-08,sh601100,-200,71.41,12.28382,586418.2368399997
2025-04-10,sz002602,-25000,6.04,122.31,737295.9268399996
2025-05-08,sz300476,1900,75.96,44.74044,592927.1863999997
2025-05-08,sz002602,18800,7.76,45.22528,446993.96111999964
2025-05-08,sh600039,17800,8.13,44.86133999999999,302235.09977999964
2025-05-08,sh600031,7700,18.72,44.684639999999995,158046.41513999965
2025-05-08,sz002422,4300,33.46,44.60218,14123.812959999661
2025-05-15,sh600031,-7700,18.68,116.50716,157843.30579999965
2025-05-15,sz300476,-100,78.16,8.98616,165650.31963999965
2025-05-15,sh600039,-200,8.39,5.855779999999999,167322.46385999964
2025-05-15,sz002602,-200,8.05,5.8210999999999995,168926.64275999964
2025-05-15,sh600415,9100,16.16,45.58736,21825.055399999634
2025-05-15,sz302132,200,86.86,5.38532,4447.670079999632
2025-05-22,sz002422,-200,36.71,8.74442,11780.925659999633
2025-05-22,sh600415,300,16.2,5.0486,6915.877059999633
2025-05-22,sh600039,500,8.43,5.04215,2695.834909999633
2025-05-22,sz002602,-800,8.64,8.52512,9599.309789999632
2025-05-29,sz002422,-4100,36.0,119.55599999999998,157079.7537899996
2025-06-06,sz300476,-1800,97.57,142.25706,332563.4967299996
2025-06-13,sh600039,-18100,8.62,126.37781999999999,488459.1189099996
2025-06-13,sh605499,600,254.62,47.35932,335639.7595899996
2025-06-13,sh600415,-300,18.23,7.78919,341100.97039999964
2025-06-13,sz300476,1600,103.57,51.37071999999999,175337.59967999964
2025-06-13,sz002602,-200,9.45,5.963900000000001,177221.63577999963
2025-06-13,sh601077,23800,6.97,51.424659999999996,11284.211119999643
2025-06-27,sh601077,-23800,7.18,138.41604,182029.79507999963
2025-06-27,sz300476,-200,126.05,20.4201,207219.37497999964
2025-06-27,sz002558,8300,21.86,56.245779999999996,25725.129199999647
2025-06-27,sh600415,-600,21.15,11.4719,38403.65729999964
2025-06-27,sz002602,400,10.14,5.04056,34342.61673999964
2025-06-27,sz002074,1000,32.22,9.988199999999999,2112.6285399996414
2025-07-04,sh605499,-600,233.4,113.43239999999999,142039.19613999967
2025-07-04,sz300476,-100,142.01,12.24251,156227.95362999965
2025-07-04,sz300502,1600,92.01,45.63696,8966.316669999651
2025-07-04,sz002602,-1800,11.46,16.70868,29577.60798999965
2025-07-04,sz002558,-200,23.31,7.37762,34232.23036999965
2025-07-04,sz002074,1100,30.67,10.458469999999998,484.7718999996505
2025-07-11,sh600415,-8500,18.15,124.96275,154634.80914999964
2025-07-11,sz300502,400,95.21,11.806039999999998,116539.00310999964
2025-07-11,sz002558,-700,26.03,14.75901,134745.24409999963
2025-07-11,sz002602,-700,12.16,9.34112,143247.90297999964
2025-07-11,sz002384,3000,46.31,43.068299999999994,4274.834679999622
2025-07-18,sz300476,-1300,168.27,177.18831,222848.64636999962
2025-07-18,sz002074,-2100,30.1,51.2001,286007.4462699996
2025-07-18,sz002384,-3000,58.0,140.94,459866.5062699996
2025-07-18,sz300502,-400,132.5,42.93,512823.5762699996
2025-07-18,sz002463,4100,53.01,67.37571,295415.2005599996
2025-07-18,sz002558,1300,24.64,9.92992,263373.2706399996
2025-07-18,sh600183,5900,36.4,66.5756,48546.695039999584
2025-07-18,sz002602,2900,11.78,10.59022,14374.104819999586
2025-07-25,sz302132,-200,85.62,13.870439999999999,31484.234379999587
2025-07-25,sz300502,100,122.36,5.12236,19243.112019999586
2025-07-25,sz300308,100,184.6,5.722599999999999,777.3894199995848
2025-07-25,sz002602,-1500,12.89,15.661349999999999,20096.728069999586
2025-08-01,sz002602,-16900,12.64,173.02896,233539.69910999958
2025-08-01,sz002558,-8700,23.06,162.50382,433999.1952899996
2025-08-01,sz300308,900,211.12,58.90248,243932.2928099996
2025-08-01,sz300476,1200,184.05,68.4666,23003.82620999959
2025-08-01,sz002384,400,57.19,7.091559999999999,120.73464999959106
2025-08-08,sh600183,-5900,38.48,183.89592,226968.83872999955
2025-08-15,sz002463,-4100,54.38,180.59598,449746.2427499995
2025-08-22,sz002384,-400,51.05,16.5402,470149.7025499995
2025-08-22,sz300502,-300,180.86,43.948980000000006,524363.7535699995
2025-08-22,sz300308,-100,257.71,20.874509999999997,550113.8790599995
2025-08-22,sz002837,5200,48.72,78.53663999999999,296691.3424199995
2025-08-22,sh601138,5800,43.52,78.24896,44197.09345999945
2025-08-29,sz300502,-1400,249.29,282.69486,392920.3985999995
2025-08-29,sz300308,-900,350.6,255.5874,708204.8111999994
2025-08-29,sz300476,-1200,259.01,251.75772,1018765.0534799994
2025-08-29,sz002837,-5200,62.95,265.1454,1345839.9080799995
2025-08-29,sz300803,2000,154.92,96.0504,1035903.8576799994
2025-08-29,sh601138,800,47.02,11.66096,998276.1967199994
2025-08-29,sh600111,5700,56.02,98.98733999999999,678863.2093799994
2025-08-29,sz002558,10600,30.27,99.46721999999998,357901.74215999944
2025-08-29,sz000617,24800,12.87,98.94456,38626.79759999947
2025-09-05,sz000617,-24800,10.53,211.52663999999996,299559.2709599994
2025-09-05,sh601138,-700,52.32,29.66544,336153.6055199994
2025-09-05,sz002837,5900,52.7,96.3883,25127.21721999941
2025-09-05,sz300803,100,135.92,5.13592,11530.08129999941
2025-09-05,sz300450,200,46.73,5.09346,2178.9878399994104
2025-09-12,sh601138,-5900,57.9,276.7041,343512.28373999946
2025-09-12,sz300803,-2100,148.3,252.2583,654690.0254399995
2025-09-26,sh600111,-5700,47.84,220.87727999999998,927157.1481599995
2025-10-13,sz002558,-10600,39.41,338.37425999999994,1344564.7738999994
2025-10-13,sz300450,-200,51.81,10.28462,1354916.4892799994
2025-10-13,sz300308,800,368.0,91.264,1060425.2252799994
2025-10-13,sh601138,5200,60.02,96.75223999999999,748224.4730399994
2025-10-13,sz300502,1300,233.66,94.16498,444372.30805999937
2025-10-13,sz002837,-200,53.72,10.47944,455105.82861999935
2025-10-13,sz301308,1900,166.01,97.77989,139589.04872999934
2025-10-20,sz002837,-5700,52.88,244.14695999999998,440760.90176999936
2025-10-27,sz300308,-800,502.98,325.93104,842818.9707299994
